uniprot_id,gene,length,llps_score,prediction,in_training
Q9P2M7,CGN,1203,0.3458,LLPS-,novel
Q9Y4B5,MTCL1,1905,0.3435,LLPS-,novel
Q14151,SAFB2,953,0.3412,LLPS-,novel
Q08379,GOLGA2,1002,0.3411,LLPS-,train
Q0VF96,CGNL1,1302,0.34,LLPS-,novel
Q86UU1,PHLDB1,1377,0.3392,LLPS-,novel
Q5VUE5,C1orf53,145,0.3377,LLPS-,novel
Q5VT33,LINC01545,79,0.3369,LLPS-,novel
P59022,DSCR10,87,0.3365,LLPS-,novel
Q8NGL7,OR4P4,312,0.3364,LLPS-,novel
A0A0B4J249,TRAV5,113,0.3355,LLPS-,novel
P01763,IGHV3-48,117,0.3349,LLPS-,novel
Q13796,SHROOM2,1616,0.3347,LLPS-,novel
A0A0C4DH39,IGHV1-58,117,0.3347,LLPS-,novel
A6NEM1,GOLGA6L9,432,0.3327,LLPS-,novel
Q9UPV0,CEP164,1460,0.3326,LLPS-,novel
Q02040,AKAP17A,695,0.3326,LLPS-,novel
Q14244,MAP7,749,0.3323,LLPS-,novel
Q7Z4V5,HDGFL2,671,0.332,LLPS-,novel
Q9H0A3,TMEM191A,160,0.3319,LLPS-,novel
Q0P140,HSD52,79,0.3316,LLPS-,novel
P62079,TSPAN5,268,0.3307,LLPS-,novel
